year,level_1,level_2,value
1970,Total Female Citizens,40 - 44 Years,42382
1970,Total Female Citizens,45 - 49 Years,34472
1970,Total Female Citizens,50 - 54 Years,30985
1970,Total Female Citizens,55 - 59 Years,28890
1970,Total Female Citizens,60 - 64 Years,21852
1970,Total Female Citizens,65 - 69 Years,15282
1970,Total Female Citizens,70 - 74 Years,9090
1970,Total Female Citizens,75 - 79 Years,5242
1970,Total Female Citizens,80 - 84 Years,na
1970,Total Female Citizens,65 Years & Over,33381
1970,Total Female Citizens,70 Years & Over,18099
1970,Total Female Citizens,75 Years & Over,9009
1970,Total Female Citizens,80 Years & Over,3767
1970,Total Female Citizens,85 Years & Over,na
1970,Total Malays,0  -  4 Years,41131
1970,Total Malays,5  -  9 Years,47990
1970,Total Malays,10 - 14 Years,40710
1970,Total Malays,15 - 19 Years,29871
1970,Total Malays,20 - 24 Years,20774
1970,Total Malays,25 - 29 Years,10360
1970,Total Malays,30 - 34 Years,13242
1970,Total Malays,35 - 39 Years,13427
1970,Total Malays,40 - 44 Years,13743
1970,Total Malays,45 - 49 Years,10923
1970,Total Malays,50 - 54 Years,7764
1970,Total Malays,55 - 59 Years,5690
1970,Total Malays,60 - 64 Years,3974
1970,Total Malays,65 - 69 Years,2378
1970,Total Malays,70 - 74 Years,1333
1970,Total Malays,75 - 79 Years,553
1970,Total Malays,80 - 84 Years,na
1970,Total Malays,65 Years & Over,4762
1970,Total Malays,70 Years & Over,2384
1970,Total Malays,75 Years & Over,1051
1970,Total Malays,80 Years & Over,498
1970,Total Malays,85 Years & Over,na
1970,Total Male Malays,0  -  4 Years,20771
1970,Total Male Malays,5  -  9 Years,24386
1970,Total Male Malays,10 - 14 Years,20617
1970,Total Male Malays,15 - 19 Years,15021
1970,Total Male Malays,20 - 24 Years,10677
1970,Total Male Malays,25 - 29 Years,5371
1970,Total Male Malays,30 - 34 Years,6962
1970,Total Male Malays,35 - 39 Years,6972
1970,Total Male Malays,40 - 44 Years,7973
1970,Total Male Malays,45 - 49 Years,6461
1970,Total Male Malays,50 - 54 Years,4531
1970,Total Male Malays,55 - 59 Years,3176
1970,Total Male Malays,60 - 64 Years,2155
1970,Total Male Malays,65 - 69 Years,1446
1970,Total Male Malays,70 - 74 Years,717
1970,Total Male Malays,75 - 79 Years,282
1970,Total Male Malays,80 - 84 Years,na
1970,Total Male Malays,65 Years & Over,2661
1970,Total Male Malays,70 Years & Over,1215
1970,Total Male Malays,75 Years & Over,498
1970,Total Male Malays,80 Years & Over,216
1970,Total Male Malays,85 Years & Over,na
1970,Total Female Malays,0  -  4 Years,20360
1970,Total Female Malays,5  -  9 Years,23604
1970,Total Female Malays,10 - 14 Years,20093
1970,Total Female Malays,15 - 19 Years,14850
1970,Total Female Malays,20 - 24 Years,10097
1970,Total Female Malays,25 - 29 Years,4989
1970,Total Female Malays,30 - 34 Years,6280
1970,Total Female Malays,35 - 39 Years,6455
1970,Total Female Malays,40 - 44 Years,5770
1970,Total Female Malays,45 - 49 Years,4462
1970,Total Female Malays,50 - 54 Years,3233
1970,Total Female Malays,55 - 59 Years,2514
1970,Total Female Malays,60 - 64 Years,1819
1970,Total Female Malays,65 - 69 Years,932
1970,Total Female Malays,70 - 74 Years,616
1970,Total Female Malays,75 - 79 Years,271
1970,Total Female Malays,80 - 84 Years,na
1970,Total Female Malays,65 Years & Over,2101
1970,Total Female Malays,70 Years & Over,1169
1970,Total Female Malays,75 Years & Over,553
1970,Total Female Malays,80 Years & Over,282
1970,Total Female Malays,85 Years & Over,na
1970,Total Chinese,0  -  4 Years,167951
1970,Total Chinese,5  -  9 Years,198774
1970,Total Chinese,10 - 14 Years,212728
1970,Total Chinese,15 - 19 Years,182180
1970,Total Chinese,20 - 24 Years,144501
1970,Total Chinese,25 - 29 Years,87633
1970,Total Chinese,30 - 34 Years,92747
1970,Total Chinese,35 - 39 Years,78208
1970,Total Chinese,40 - 44 Years,67179
1970,Total Chinese,45 - 49 Years,54072
1970,Total Chinese,50 - 54 Years,50657
1970,Total Chinese,55 - 59 Years,49745
1970,Total Chinese,60 - 64 Years,38346
1970,Total Chinese,65 - 69 Years,26483
1970,Total Chinese,70 - 74 Years,14529
1970,Total Chinese,75 - 79 Years,7740
1970,Total Chinese,80 - 84 Years,na
1970,Total Chinese,65 Years & Over,53479
1970,Total Chinese,70 Years & Over,26996
1970,Total Chinese,75 Years & Over,12467
1970,Total Chinese,80 Years & Over,4727
1970,Total Chinese,85 Years & Over,na
1970,Total Male Chinese,0  -  4 Years,86874
1970,Total Male Chinese,5  -  9 Years,102501
1970,Total Male Chinese,10 - 14 Years,109593
1970,Total Male Chinese,15 - 19 Years,94061
1970,Total Male Chinese,20 - 24 Years,74415
1970,Total Male Chinese,25 - 29 Years,44842
1970,Total Male Chinese,30 - 34 Years,47257
1970,Total Male Chinese,35 - 39 Years,39273
1970,Total Male Chinese,40 - 44 Years,32992
1970,Total Male Chinese,45 - 49 Years,25947
1970,Total Male Chinese,50 - 54 Years,24177
1970,Total Male Chinese,55 - 59 Years,24355
1970,Total Male Chinese,60 - 64 Years,18914
1970,Total Male Chinese,65 - 69 Years,12562
1970,Total Male Chinese,70 - 74 Years,6313
1970,Total Male Chinese,75 - 79 Years,2907
1970,Total Male Chinese,80 - 84 Years,na
1970,Total Male Chinese,65 Years & Over,23141
1970,Total Male Chinese,70 Years & Over,10579
1970,Total Male Chinese,75 Years & Over,4266
1970,Total Male Chinese,80 Years & Over,1359
1970,Total Male Chinese,85 Years & Over,na
1970,Total Female Chinese,0  -  4 Years,81077
1970,Total Female Chinese,5  -  9 Years,96273
1970,Total Female Chinese,10 - 14 Years,103135
1970,Total Female Chinese,15 - 19 Years,88119
1970,Total Female Chinese,20 - 24 Years,70086
1970,Total Female Chinese,25 - 29 Years,42791
1970,Total Female Chinese,30 - 34 Years,45490
1970,Total Female Chinese,35 - 39 Years,38935
1970,Total Female Chinese,40 - 44 Years,34187
1970,Total Female Chinese,45 - 49 Years,28125
1970,Total Female Chinese,50 - 54 Years,26480
1970,Total Female Chinese,55 - 59 Years,25390
1970,Total Female Chinese,60 - 64 Years,19432
1970,Total Female Chinese,65 - 69 Years,13921
1970,Total Female Chinese,70 - 74 Years,8216
1970,Total Female Chinese,75 - 79 Years,4833
1970,Total Female Chinese,80 - 84 Years,na
1970,Total Female Chinese,65 Years & Over,30338
1970,Total Female Chinese,70 Years & Over,16417
1970,Total Female Chinese,75 Years & Over,8201
1970,Total Female Chinese,80 Years & Over,3368
1970,Total Female Chinese,85 Years & Over,na
1970,Total Indians,0  -  4 Years,15160
1970,Total Indians,5  -  9 Years,17918
1970,Total Indians,10 - 14 Years,17155
1970,Total Indians,15 - 19 Years,12789
1970,Total Indians,20 - 24 Years,8791
1970,Total Indians,25 - 29 Years,4119
1970,Total Indians,30 - 34 Years,5059
1970,Total Indians,35 - 39 Years,6582
1970,Total Indians,40 - 44 Years,7434
1970,Total Indians,45 - 49 Years,6422
1970,Total Indians,50 - 54 Years,4629
1970,Total Indians,55 - 59 Years,3222
1970,Total Indians,60 - 64 Years,1771
1970,Total Indians,65 - 69 Years,930
1970,Total Indians,70 - 74 Years,438
1970,Total Indians,75 - 79 Years,187
1970,Total Indians,80 - 84 Years,na
1970,Total Indians,65 Years & Over,1632
1970,Total Indians,70 Years & Over,702
1970,Total Indians,75 Years & Over,264
1970,Total Indians,80 Years & Over,77
1970,Total Indians,85 Years & Over,na
1970,Total Male Indians,0  -  4 Years,7696
1970,Total Male Indians,5  -  9 Years,9030
1970,Total Male Indians,10 - 14 Years,8870
1970,Total Male Indians,15 - 19 Years,6701
1970,Total Male Indians,20 - 24 Years,4797
1970,Total Male Indians,25 - 29 Years,2386
1970,Total Male Indians,30 - 34 Years,2922
1970,Total Male Indians,35 - 39 Years,4660
1970,Total Male Indians,40 - 44 Years,5561
1970,Total Male Indians,45 - 49 Years,5062
1970,Total Male Indians,50 - 54 Years,3783
1970,Total Male Indians,55 - 59 Years,2581
1970,Total Male Indians,60 - 64 Years,1443
1970,Total Male Indians,65 - 69 Years,726
1970,Total Male Indians,70 - 74 Years,333
1970,Total Male Indians,75 - 79 Years,134
1970,Total Male Indians,80 - 84 Years,na
1970,Total Male Indians,65 Years & Over,1247
1970,Total Male Indians,70 Years & Over,521
1970,Total Male Indians,75 Years & Over,188
1970,Total Male Indians,80 Years & Over,54
1970,Total Male Indians,85 Years & Over,na
1970,Total Female Indians,0  -  4 Years,7464
1970,Total Female Indians,5  -  9 Years,8888
1970,Total Female Indians,10 - 14 Years,8285
1970,Total Female Indians,15 - 19 Years,6088
1970,Total Female Indians,20 - 24 Years,3994
1970,Total Female Indians,25 - 29 Years,1733
1970,Total Female Indians,30 - 34 Years,2137
1970,Total Female Indians,35 - 39 Years,1922
1970,Total Female Indians,40 - 44 Years,1873
1970,Total Female Indians,45 - 49 Years,1360
1970,Total Female Indians,50 - 54 Years,846
1970,Total Female Indians,55 - 59 Years,641
1970,Total Female Indians,60 - 64 Years,328
1970,Total Female Indians,65 - 69 Years,204
1970,Total Female Indians,70 - 74 Years,105
1970,Total Female Indians,75 - 79 Years,53
1970,Total Female Indians,80 - 84 Years,na
1970,Total Female Indians,65 Years & Over,385
1970,Total Female Indians,70 Years & Over,181
1970,Total Female Indians,75 Years & Over,76
1970,Total Female Indians,80 Years & Over,23
1970,Total Female Indians,85 Years & Over,na
1970,Other Ethnic Groups (Total),0  -  4 Years,2212
1970,Other Ethnic Groups (Total),5  -  9 Years,2440
1970,Other Ethnic Groups (Total),10 - 14 Years,2421
1970,Other Ethnic Groups (Total),15 - 19 Years,2161
1970,Other Ethnic Groups (Total),20 - 24 Years,1709
1970,Other Ethnic Groups (Total),25 - 29 Years,862
1970,Other Ethnic Groups (Total),30 - 34 Years,1140
1970,Other Ethnic Groups (Total),35 - 39 Years,1185
1970,Other Ethnic Groups (Total),40 - 44 Years,1147
1970,Other Ethnic Groups (Total),45 - 49 Years,1129
1970,Other Ethnic Groups (Total),50 - 54 Years,950
1970,Other Ethnic Groups (Total),55 - 59 Years,703
1970,Other Ethnic Groups (Total),60 - 64 Years,534
1970,Other Ethnic Groups (Total),65 - 69 Years,437
1970,Other Ethnic Groups (Total),70 - 74 Years,234
1970,Other Ethnic Groups (Total),75 - 79 Years,134
1970,Other Ethnic Groups (Total),80 - 84 Years,na
1970,Other Ethnic Groups (Total),65 Years & Over,941
1970,Other Ethnic Groups (Total),70 Years & Over,504
1970,Other Ethnic Groups (Total),75 Years & Over,270
1970,Other Ethnic Groups (Total),80 Years & Over,136
1970,Other Ethnic Groups (Total),85 Years & Over,na
1970,Other Ethnic Groups (Males),0  -  4 Years,1163
1970,Other Ethnic Groups (Males),5  -  9 Years,1248
1970,Other Ethnic Groups (Males),10 - 14 Years,1251
1970,Other Ethnic Groups (Males),15 - 19 Years,1108
1970,Other Ethnic Groups (Males),20 - 24 Years,890
1970,Other Ethnic Groups (Males),25 - 29 Years,439
1970,Other Ethnic Groups (Males),30 - 34 Years,523
1970,Other Ethnic Groups (Males),35 - 39 Years,610
1970,Other Ethnic Groups (Males),40 - 44 Years,595
1970,Other Ethnic Groups (Males),45 - 49 Years,604
1970,Other Ethnic Groups (Males),50 - 54 Years,524
1970,Other Ethnic Groups (Males),55 - 59 Years,358
1970,Other Ethnic Groups (Males),60 - 64 Years,261
1970,Other Ethnic Groups (Males),65 - 69 Years,212
1970,Other Ethnic Groups (Males),70 - 74 Years,81
1970,Other Ethnic Groups (Males),75 - 79 Years,49
1970,Other Ethnic Groups (Males),80 - 84 Years,na
1970,Other Ethnic Groups (Males),65 Years & Over,384
1970,Other Ethnic Groups (Males),70 Years & Over,172
1970,Other Ethnic Groups (Males),75 Years & Over,91
1970,Other Ethnic Groups (Males),80 Years & Over,42
1970,Other Ethnic Groups (Males),85 Years & Over,na
1970,Other Ethnic Groups (Females),0  -  4 Years,1049
1970,Other Ethnic Groups (Females),5  -  9 Years,1192
1970,Other Ethnic Groups (Females),10 - 14 Years,1170
1970,Other Ethnic Groups (Females),15 - 19 Years,1053
1970,Other Ethnic Groups (Females),20 - 24 Years,819
1970,Other Ethnic Groups (Females),25 - 29 Years,423
1970,Other Ethnic Groups (Females),30 - 34 Years,617
1970,Other Ethnic Groups (Females),35 - 39 Years,575
1970,Other Ethnic Groups (Females),40 - 44 Years,552
1970,Other Ethnic Groups (Females),45 - 49 Years,525
1970,Other Ethnic Groups (Females),50 - 54 Years,426
1970,Other Ethnic Groups (Females),55 - 59 Years,345
1970,Other Ethnic Groups (Females),60 - 64 Years,273
1970,Other Ethnic Groups (Females),65 - 69 Years,225
1970,Other Ethnic Groups (Females),70 - 74 Years,153
1970,Other Ethnic Groups (Females),75 - 79 Years,85
1970,Other Ethnic Groups (Females),80 - 84 Years,na
1970,Other Ethnic Groups (Females),65 Years & Over,557
1970,Other Ethnic Groups (Females),70 Years & Over,332
1970,Other Ethnic Groups (Females),75 Years & Over,179
1970,Other Ethnic Groups (Females),80 Years & Over,94
1970,Other Ethnic Groups (Females),85 Years & Over,na
1980,Total Citizen,0  -  4 Years,183210
1980,Total Citizen,5  -  9 Years,213775
1980,Total Citizen,10 - 14 Years,224112
1980,Total Citizen,15 - 19 Years,264927
1980,Total Citizen,20 - 24 Years,264370
1980,Total Citizen,25 - 29 Years,222280
1980,Total Citizen,30 - 34 Years,183267
1980,Total Citizen,35 - 39 Years,113943
1980,Total Citizen,40 - 44 Years,114894
1980,Total Citizen,45 - 49 Years,97572
1980,Total Citizen,50 - 54 Years,85395
1980,Total Citizen,55 - 59 Years,65692
1980,Total Citizen,60 - 64 Years,55522
1980,Total Citizen,65 - 69 Years,46072
1980,Total Citizen,70 - 74 Years,30992
1980,Total Citizen,75 - 79 Years,17141
1980,Total Citizen,80 - 84 Years,7184
1980,Total Citizen,65 Years & Over,105321
1980,Total Citizen,70 Years & Over,59249
1980,Total Citizen,75 Years & Over,28257
1980,Total Citizen,80 Years & Over,11116
1980,Total Citizen,85 Years & Over,3932
1980,Total Male Citizens,0  -  4 Years,95284
1980,Total Male Citizens,5  -  9 Years,110506
1980,Total Male Citizens,10 - 14 Years,114738
1980,Total Male Citizens,15 - 19 Years,136323
1980,Total Male Citizens,20 - 24 Years,136700
1980,Total Male Citizens,25 - 29 Years,114439
1980,Total Male Citizens,30 - 34 Years,93311
1980,Total Male Citizens,35 - 39 Years,57177
1980,Total Male Citizens,40 - 44 Years,58001
1980,Total Male Citizens,45 - 49 Years,49490
1980,Total Male Citizens,50 - 54 Years,43759
1980,Total Male Citizens,55 - 59 Years,33497
1980,Total Male Citizens,60 - 64 Years,27459
1980,Total Male Citizens,65 - 69 Years,22122
1980,Total Male Citizens,70 - 74 Years,14437
1980,Total Male Citizens,75 - 79 Years,7309
1980,Total Male Citizens,80 - 84 Years,2652
1980,Total Male Citizens,65 Years & Over,47675
1980,Total Male Citizens,70 Years & Over,25553
1980,Total Male Citizens,75 Years & Over,11116
1980,Total Male Citizens,80 Years & Over,3807
1980,Total Male Citizens,85 Years & Over,1155
1980,Total Female Citizens,0  -  4 Years,87926
1980,Total Female Citizens,5  -  9 Years,103269
1980,Total Female Citizens,10 - 14 Years,109374
1980,Total Female Citizens,15 - 19 Years,128604
1980,Total Female Citizens,20 - 24 Years,127670
1980,Total Female Citizens,25 - 29 Years,107841
1980,Total Female Citizens,30 - 34 Years,89956
1980,Total Female Citizens,35 - 39 Years,56766
1980,Total Female Citizens,40 - 44 Years,56893
1980,Total Female Citizens,45 - 49 Years,48082
1980,Total Female Citizens,50 - 54 Years,41636
1980,Total Female Citizens,55 - 59 Years,32195
1980,Total Female Citizens,60 - 64 Years,28063
1980,Total Female Citizens,65 - 69 Years,23950
1980,Total Female Citizens,70 - 74 Years,16555
1980,Total Female Citizens,75 - 79 Years,9832
1980,Total Female Citizens,80 - 84 Years,4532
1980,Total Female Citizens,65 Years & Over,57646
1980,Total Female Citizens,70 Years & Over,33696
1980,Total Female Citizens,75 Years & Over,17141
1980,Total Female Citizens,80 Years & Over,7309
1980,Total Female Citizens,85 Years & Over,2777
1980,Total Malays,0  -  4 Years,28329
1980,Total Malays,5  -  9 Years,33204
1980,Total Malays,10 - 14 Years,38761
1980,Total Malays,15 - 19 Years,45998
1980,Total Malays,20 - 24 Years,38721
1980,Total Malays,25 - 29 Years,28499
1980,Total Malays,30 - 34 Years,20379
1980,Total Malays,35 - 39 Years,10583
1980,Total Malays,40 - 44 Years,12447
1980,Total Malays,45 - 49 Years,12375
1980,Total Malays,50 - 54 Years,12082
1980,Total Malays,55 - 59 Years,9556
1980,Total Malays,60 - 64 Years,6623
1980,Total Malays,65 - 69 Years,4016
1980,Total Malays,70 - 74 Years,2498
1980,Total Malays,75 - 79 Years,1213
1980,Total Malays,80 - 84 Years,491
1980,Total Malays,65 Years & Over,8470
1980,Total Malays,70 Years & Over,4454
1980,Total Malays,75 Years & Over,1956
1980,Total Malays,80 Years & Over,743
1980,Total Malays,85 Years & Over,252
1980,Total Male Malays,0  -  4 Years,14710
1980,Total Male Malays,5  -  9 Years,17115
1980,Total Male Malays,10 - 14 Years,19535
1980,Total Male Malays,15 - 19 Years,23492
1980,Total Male Malays,20 - 24 Years,19760
1980,Total Male Malays,25 - 29 Years,14437
1980,Total Male Malays,30 - 34 Years,10523
1980,Total Male Malays,35 - 39 Years,5405
1980,Total Male Malays,40 - 44 Years,6492
1980,Total Male Malays,45 - 49 Years,6189
1980,Total Male Malays,50 - 54 Years,6671
1980,Total Male Malays,55 - 59 Years,5604
1980,Total Male Malays,60 - 64 Years,3841
1980,Total Male Malays,65 - 69 Years,2205
1980,Total Male Malays,70 - 74 Years,1357
1980,Total Male Malays,75 - 79 Years,699
1980,Total Male Malays,80 - 84 Years,259
1980,Total Male Malays,65 Years & Over,4634
1980,Total Male Malays,70 Years & Over,2429
1980,Total Male Malays,75 Years & Over,1072
1980,Total Male Malays,80 Years & Over,373
1980,Total Male Malays,85 Years & Over,114
1980,Total Female Malays,0  -  4 Years,13619
1980,Total Female Malays,5  -  9 Years,16089
1980,Total Female Malays,10 - 14 Years,19226
1980,Total Female Malays,15 - 19 Years,22506
1980,Total Female Malays,20 - 24 Years,18961
1980,Total Female Malays,25 - 29 Years,14062
1980,Total Female Malays,30 - 34 Years,9856
1980,Total Female Malays,35 - 39 Years,5178
1980,Total Female Malays,40 - 44 Years,5955
1980,Total Female Malays,45 - 49 Years,6186
1980,Total Female Malays,50 - 54 Years,5411
1980,Total Female Malays,55 - 59 Years,3952
1980,Total Female Malays,60 - 64 Years,2782
1980,Total Female Malays,65 - 69 Years,1811
1980,Total Female Malays,70 - 74 Years,1141
1980,Total Female Malays,75 - 79 Years,514
1980,Total Female Malays,80 - 84 Years,232
1980,Total Female Malays,65 Years & Over,3836
1980,Total Female Malays,70 Years & Over,2025
1980,Total Female Malays,75 Years & Over,884
1980,Total Female Malays,80 Years & Over,370
1980,Total Female Malays,85 Years & Over,138
1980,Total Chinese,0  -  4 Years,143977
1980,Total Chinese,5  -  9 Years,167677
1980,Total Chinese,10 - 14 Years,169148
1980,Total Chinese,15 - 19 Years,199166
1980,Total Chinese,20 - 24 Years,207155
1980,Total Chinese,25 - 29 Years,179570
1980,Total Chinese,30 - 34 Years,151883
1980,Total Chinese,35 - 39 Years,97123
1980,Total Chinese,40 - 44 Years,95341
1980,Total Chinese,45 - 49 Years,77457
1980,Total Chinese,50 - 54 Years,65493
1980,Total Chinese,55 - 59 Years,50063
1980,Total Chinese,60 - 64 Years,44830
1980,Total Chinese,65 - 69 Years,39612
1980,Total Chinese,70 - 74 Years,27165
1980,Total Chinese,75 - 79 Years,15260
1980,Total Chinese,80 - 84 Years,6408
1980,Total Chinese,65 Years & Over,91979
1980,Total Chinese,70 Years & Over,52367
1980,Total Chinese,75 Years & Over,25202
1980,Total Chinese,80 Years & Over,9942
1980,Total Chinese,85 Years & Over,3534
1980,Total Male Chinese,0  -  4 Years,75011
1980,Total Male Chinese,5  -  9 Years,86773
1980,Total Male Chinese,10 - 14 Years,86959
1980,Total Male Chinese,15 - 19 Years,102758
1980,Total Male Chinese,20 - 24 Years,107165
1980,Total Male Chinese,25 - 29 Years,92514
1980,Total Male Chinese,30 - 34 Years,77091
1980,Total Male Chinese,35 - 39 Years,48689
1980,Total Male Chinese,40 - 44 Years,48058
1980,Total Male Chinese,45 - 49 Years,38565
1980,Total Male Chinese,50 - 54 Years,31814
1980,Total Male Chinese,55 - 59 Years,23553
1980,Total Male Chinese,60 - 64 Years,20674
1980,Total Male Chinese,65 - 69 Years,18246
1980,Total Male Chinese,70 - 74 Years,12166
1980,Total Male Chinese,75 - 79 Years,6202
1980,Total Male Chinese,80 - 84 Years,2238
1980,Total Male Chinese,65 Years & Over,39812
1980,Total Male Chinese,70 Years & Over,21566
1980,Total Male Chinese,75 Years & Over,9400
1980,Total Male Chinese,80 Years & Over,3198
1980,Total Male Chinese,85 Years & Over,960
1980,Total Female Chinese,0  -  4 Years,68966
1980,Total Female Chinese,5  -  9 Years,80904
1980,Total Female Chinese,10 - 14 Years,82189
1980,Total Female Chinese,15 - 19 Years,96408
1980,Total Female Chinese,20 - 24 Years,99990
1980,Total Female Chinese,25 - 29 Years,87056
1980,Total Female Chinese,30 - 34 Years,74792
1980,Total Female Chinese,35 - 39 Years,48434
1980,Total Female Chinese,40 - 44 Years,47283
1980,Total Female Chinese,45 - 49 Years,38892
1980,Total Female Chinese,50 - 54 Years,33679
1980,Total Female Chinese,55 - 59 Years,26510
1980,Total Female Chinese,60 - 64 Years,24156
1980,Total Female Chinese,65 - 69 Years,21366
1980,Total Female Chinese,70 - 74 Years,14999
1980,Total Female Chinese,75 - 79 Years,9058
1980,Total Female Chinese,80 - 84 Years,4170
1980,Total Female Chinese,65 Years & Over,52167
1980,Total Female Chinese,70 Years & Over,30801
1980,Total Female Chinese,75 Years & Over,15802
1980,Total Female Chinese,80 Years & Over,6744
1980,Total Female Chinese,85 Years & Over,2574
1980,Total Indians,0  -  4 Years,9414
1980,Total Indians,5  -  9 Years,11428
1980,Total Indians,10 - 14 Years,14600
1980,Total Indians,15 - 19 Years,17699
1980,Total Indians,20 - 24 Years,16552
1980,Total Indians,25 - 29 Years,12545
1980,Total Indians,30 - 34 Years,9479
1980,Total Indians,35 - 39 Years,5442
1980,Total Indians,40 - 44 Years,6054
1980,Total Indians,45 - 49 Years,6698
1980,Total Indians,50 - 54 Years,6819
1980,Total Indians,55 - 59 Years,5197
1980,Total Indians,60 - 64 Years,3397
1980,Total Indians,65 - 69 Years,1948
1980,Total Indians,70 - 74 Years,1010
1980,Total Indians,75 - 79 Years,436
1980,Total Indians,80 - 84 Years,165
1980,Total Indians,65 Years & Over,3645
1980,Total Indians,70 Years & Over,1697
1980,Total Indians,75 Years & Over,687
1980,Total Indians,80 Years & Over,251
1980,Total Indians,85 Years & Over,86
1980,Total Male Indians,0  -  4 Years,4806
1980,Total Male Indians,5  -  9 Years,5861
1980,Total Male Indians,10 - 14 Years,7446
1980,Total Male Indians,15 - 19 Years,9005
1980,Total Male Indians,20 - 24 Years,8752
1980,Total Male Indians,25 - 29 Years,6617
1980,Total Male Indians,30 - 34 Years,4903
1980,Total Male Indians,35 - 39 Years,2681
1980,Total Male Indians,40 - 44 Years,2968
1980,Total Male Indians,45 - 49 Years,4206
1980,Total Male Indians,50 - 54 Years,4774
1980,Total Male Indians,55 - 59 Years,3867
1980,Total Male Indians,60 - 64 Years,2599
1980,Total Male Indians,65 - 69 Years,1438
1980,Total Male Indians,70 - 74 Years,761
1980,Total Male Indians,75 - 79 Years,316
1980,Total Male Indians,80 - 84 Years,117
1980,Total Male Indians,65 Years & Over,2695
1980,Total Male Indians,70 Years & Over,1257
1980,Total Male Indians,75 Years & Over,496
1980,Total Male Indians,80 Years & Over,180
1980,Total Male Indians,85 Years & Over,63
1980,Total Female Indians,0  -  4 Years,4608
1980,Total Female Indians,5  -  9 Years,5567
1980,Total Female Indians,10 - 14 Years,7154
1980,Total Female Indians,15 - 19 Years,8694
1980,Total Female Indians,20 - 24 Years,7800
1980,Total Female Indians,25 - 29 Years,5928
1980,Total Female Indians,30 - 34 Years,4576
1980,Total Female Indians,35 - 39 Years,2761
1980,Total Female Indians,40 - 44 Years,3086
1980,Total Female Indians,45 - 49 Years,2492
1980,Total Female Indians,50 - 54 Years,2045
1980,Total Female Indians,55 - 59 Years,1330
1980,Total Female Indians,60 - 64 Years,798
1980,Total Female Indians,65 - 69 Years,510
1980,Total Female Indians,70 - 74 Years,249
1980,Total Female Indians,75 - 79 Years,120
1980,Total Female Indians,80 - 84 Years,48
1980,Total Female Indians,65 Years & Over,950
1980,Total Female Indians,70 Years & Over,440
1980,Total Female Indians,75 Years & Over,191
1980,Total Female Indians,80 Years & Over,71
1980,Total Female Indians,85 Years & Over,23
1980,Other Ethnic Groups (Total),0  -  4 Years,1490
1980,Other Ethnic Groups (Total),5  -  9 Years,1466
1980,Other Ethnic Groups (Total),10 - 14 Years,1603
1980,Other Ethnic Groups (Total),15 - 19 Years,2064
1980,Other Ethnic Groups (Total),20 - 24 Years,1942
1980,Other Ethnic Groups (Total),25 - 29 Years,1666
1980,Other Ethnic Groups (Total),30 - 34 Years,1526
1980,Other Ethnic Groups (Total),35 - 39 Years,795
1980,Other Ethnic Groups (Total),40 - 44 Years,1052
